Site,Plot,Longitude,Latitude
PA-1490m,PA-1490m-1,-121.72465,46.7703333
PA-1490m,PA-1490m-2,-121.7246333,46.77058325
PA-1490m,PA-1490m-3,-121.72455,46.77038326
PA-1490m,PA-1490m-4,-121.72455,46.77058325
PA-1490m,PA-1490m-5,-121.7244999,46.77038326
PA-1490m,PA-1490m-6,-121.7244833,46.77056666
PA-1490m,PA-1490m-7,-121.7243999,46.77036666
PA-1490m,PA-1490m-8,-121.7242999,46.77056666
PA-1490m,PA-1490m-9,-121.7242833,46.77036666
PA-1490m,PA-1490m-10,-121.7242166,46.7705333
PA-1490m,PA-1490m-01s,-121.7246833,46.77048326
PA-1490m,PA-1490m-03s,-121.7245333,46.77049994
PA-1490m,PA-1490m-05s,-121.7244333,46.77048664
PA-1490m,PA-1490m-07s,-121.724348,46.7704702
PA-1490m,PA-1490m-09s,-121.7242588,46.77044764
PA-1570m,PA-1570m-1,-121.7193167,46.77719993
PA-1570m,PA-1570m-2,-121.719,46.77723329
PA-1570m,PA-1570m-3,-121.7192499,46.77714997
PA-1570m,PA-1570m-4,-121.7189197,46.77713097
PA-1570m,PA-1570m-5,-121.7192833,46.77709993
PA-1570m,PA-1570m-6,-121.7190167,46.77704997
PA-1570m,PA-1570m-7,-121.7193,46.77704997
PA-1570m,PA-1570m-8,-121.7190333,46.7769333
PA-1570m,PA-1570m-9,-121.7193499,46.77699993
PA-1570m,PA-1570m-10,-121.7191167,46.77684998
PA-1570m,PA-1570m-01s,-121.7191167,46.77728333
PA-1570m,PA-1570m-03s,-121.7190666,46.77709993
PA-1570m,PA-1570m-05s,-121.7191333,46.77704997
PA-1570m,PA-1570m-07s,-121.7191499,46.77699993
PA-1570m,PA-1570m-09s,-121.7192666,46.7769333
PA-1680m,PA-1680m-1,-121.7199166,46.78126666
PA-1680m,PA-1680m-2,-121.7204166,46.7812333
PA-1680m,PA-1680m-3,-121.71995,46.78153329
PA-1680m,PA-1680m-4,-121.7204166,46.78138325
PA-1680m,PA-1680m-5,-121.7197833,46.78213326
PA-1680m,PA-1680m-6,-121.7202999,46.78199999
PA-1680m,PA-1680m-7,-121.7198833,46.7822833
PA-1680m,PA-1680m-8,-121.7204833,46.78221666
PA-1680m,PA-1680m-9,-121.7199138,46.78245571
PA-1680m,PA-1680m-10,-121.7205833,46.78243325
PA-1680m,PA-1680m-01s,-121.7201166,46.78128325
PA-1680m,PA-1680m-03s,-121.7201999,46.78143329
PA-1680m,PA-1680m-05s,-121.7200667,46.78206663
PA-1680m,PA-1680m-07s,-121.7201166,46.78221666
PA-1680m,PA-1680m-09s,-121.7201418,46.78243983
PA-1791m,PA-1791m-1,-121.7175833,46.79138328
PA-1791m,PA-1791m-2,-121.7179833,46.79101666
PA-1791m,PA-1791m-3,-121.7177336,46.79139715
PA-1791m,PA-1791m-4,-121.7180333,46.79106661
PA-1791m,PA-1791m-5,-121.7178333,46.79138328
PA-1791m,PA-1791m-6,-121.7180999,46.79116661
PA-1791m,PA-1791m-7,-121.7178166,46.79148328
PA-1791m,PA-1791m-8,-121.7181999,46.79118329
PA-1791m,PA-1791m-9,-121.717916,46.79150226
PA-1791m,PA-1791m-10,-121.7183333,46.79123333
PA-1791m,PA-1791m-01s,-121.717658,46.79125292
PA-1791m,PA-1791m-03s,-121.7177999,46.79128328
PA-1791m,PA-1791m-05s,-121.7178999,46.79131664
PA-1791m,PA-1791m-07s,-121.7179667,46.7913666
PA-1791m,PA-1791m-09s,-121.7180333,46.79138328
PA-1901m,PA-1901m-1,-121.7108499,46.7973833
PA-1901m,PA-1901m-3,-121.7108,46.79729998
PA-1901m,PA-1901m-5,-121.7108,46.79736662
PA-1901m,PA-1901m-7,-121.7107666,46.79733326
PA-1901m,PA-1901m-9,-121.7106833,46.79733326
PA-1901m,PA-1901m-10,-121.7103499,46.79749997
PA-1901m,PA-1901m-01s,-121.7108972,46.79743693
PA-1901m,PA-1901m-03s,-121.710822,46.79747058
PA-1901m,PA-1901m-05s,-121.7107499,46.79744993
PA-1901m,PA-1901m-07s,-121.7106168,46.79750422
PA-1901m,PA-1901m-09s,-121.7105271,46.7974686
