1,Anemone occidentalis
2,Antennaria lanata
3,Arnica latifolia
4,Aster alpigenus
5,Aster ledophyllus
6,Caltha leptosepala
7,Cassiope mertensiana
8,Castilleja miniata
9,Castilleja parviflora
10,Claytonia sibirica
11,Epilobium alpinum
12,Erigeron peregrinus
13,Erythronium grandiflorum
14,Erythronium montanum
15,Gentiana calycosa
16,Hieracium gracile
17,Kalmia microphylla
18,Ligusticum grayi
19,Lomatium martindalei
20,Luetkea pectinata
21,Lupinus arcticus
22,Microceris alpestris
23,Mitella breweri
24,Pedicularis bracteosa
25,Pedicularis contorta
26,Pedicularis groendlandica
27,Pedicularis ornithorhyncha
28,Pedicularis racemosa
29,Penstemon confertus
30,Phlox diffusa
31,Phyllodoce empetriformis
32,Phyllodoce glanduliflora
33,Polemonium californicum
34,Polygonum bistortoides
35,Potentilla flabellifolia
36,Rhododendron albiflorum
37,Ribes acerifolium
38,Rubus lasiococcus
39,Salix barclayi
40,Saxifraga tolmei
41,Sorbus sitchensis
42,Spiraea splendens
43,Vaccinium deliciosum
44,Vaccinium membranaceum
45,Valeriana sitchensis
46,Veratrum viride
47,Veronica cusickii
48,Xerophyllum tenax
