"Species_num","Species","Year2015","nsites","prevalence","mean_elev","min_elev","max_elev","mean_SDD","mean_gdd","mean_fdd","mean_moist","r_prev","s_prev","c_prev"
1,"Anemone occidentalis",FALSE,9,0.213333333333333,1811.88322368421,1570,1901,201.726973684211,600.787153759049,-0.668143377442073,51.5213815789474,0.111111111111111,0.444444444444444,0.0357142857142857
2,"Antennaria lanata",FALSE,2,0.04,1791,1791,1791,204.529411764706,604.829239775794,-0.361081021426447,71.6470588235294,0,0.0740740740740741,0.0357142857142857
3,"Arnica latifolia",FALSE,10,0.146666666666667,1665.50240384615,1570,1901,198.146634615385,619.889595506315,-0.304221405058388,55.1802884615385,0.111111111111111,0.222222222222222,0.0714285714285714
4,"Aster alpigenus",FALSE,18,0.36,1679.69089147287,1490,1901,200.606589147287,618.973406856242,-0.358501213190101,88.1259689922481,0.185185185185185,0.259259259259259,0.535714285714286
5,"Aster ledophyllus",FALSE,7,0.12,1566.47798742138,1490,1570,185.61320754717,633.414223733469,-0.0485640194540391,43.0974842767296,0.0740740740740741,0.222222222222222,0.0357142857142857
6,"Caltha leptosepala",FALSE,1,0.0266666666666667,1490,1490,1490,195.465517241379,645.476033281042,0,143.120689655172,0,0,0.0714285714285714
7,"Cassiope mertensiana",FALSE,11,0.173333333333333,1807.53964757709,1680,1901,213.922907488987,583.894565263537,-0.997059654123417,79.4140969162996,0.0740740740740741,0.148148148148148,0.285714285714286
8,"Castilleja miniata",FALSE,2,0.0533333333333333,1599.28333333333,1490,1901,180.941666666667,629.631456007766,-0.0753392728618868,43.9583333333333,0.037037037037037,0.111111111111111,0
9,"Castilleja parviflora",FALSE,26,0.453333333333333,1793.14024835646,1490,1901,200.969320672023,599.955409472134,-0.736663396322962,53.4879474068663,0.333333333333333,0.666666666666667,0.25
10,"Claytonia sibirica",FALSE,2,0.0533333333333333,1777.78571428571,1680,1791,204.571428571429,589.966671983072,-0.146785869661605,47.4285714285714,0,0.148148148148148,0
11,"Epilobium alpinum",FALSE,1,0.0266666666666667,1901,1901,1901,225.5,421.745351308573,-4.40342823121898,45,0,0.037037037037037,0.0357142857142857
12,"Erigeron peregrinus",FALSE,20,0.333333333333333,1698.395696913,1490,1901,199.32273152479,620.677526483028,-0.302953915230502,65.9438727782975,0.148148148148148,0.444444444444444,0.321428571428571
13,"Erythronium grandifloru",FALSE,1,0.0133333333333333,1791,1791,1791,195.333333333333,632.216322820007,0,56.4444444444444,0,0.037037037037037,0
14,"Erythronium montanum",FALSE,35,0.533333333333333,1608.49164420485,1490,1791,194.290026954178,631.996882248849,-0.0797999421098845,57.9870619946092,0.62962962962963,0.555555555555556,0.357142857142857
15,"Gentiana calycosa",FALSE,7,0.106666666666667,1690.70642201835,1490,1791,189.094801223242,645.189766442341,0,102.788990825688,0.148148148148148,0.037037037037037,0.107142857142857
16,"Hieracium gracile",FALSE,22,0.333333333333333,1788.98830409357,1490,1901,201.13216374269,605.625219023116,-0.428290375356769,61.8643274853801,0.259259259259259,0.333333333333333,0.321428571428571
17,"Kalmia microphylla",FALSE,1,0.0133333333333333,1490,1490,1490,187.94,666.150768125203,0,151,0,0,0.0357142857142857
18,"Ligusticum grayi",FALSE,36,0.56,1658.59901531729,1490,1791,197.472100656455,626.379710844197,-0.120616672347824,68.7527352297593,0.37037037037037,0.592592592592593,0.571428571428571
19,"Lomatium martindalei",FALSE,5,0.08,1883.3014354067,1490,1901,197.473684210526,590.824037424379,-1.28405192958716,40.9904306220096,0.111111111111111,0.111111111111111,0
20,"Luetkea pectinata",FALSE,14,0.32,1753.04932301741,1490,1901,202.538684719536,613.003973903527,-0.430070536508049,62.3733075435203,0.185185185185185,0.37037037037037,0.357142857142857
21,"Lupinus arcticus",FALSE,51,0.76,1687.90157776108,1490,1901,197.287753568745,617.161253517601,-0.42155338199838,60.7332832456799,0.555555555555556,0.925925925925926,0.678571428571429
22,"Microceris alpestris",FALSE,14,0.24,1793.54054054054,1570,1901,200.89666136725,606.848574595633,-0.58890003834794,48.9777424483307,0.0740740740740741,0.444444444444444,0.142857142857143
23,"Mitella breweri",FALSE,5,0.0666666666666667,1509.68468468468,1490,1680,192.441441441441,638.628206315614,0,87.4144144144144,0.037037037037037,0.148148148148148,0
24,"Pedicularis bracteosa",FALSE,11,0.2,1695.03053435114,1490,1791,192.282442748092,628.182892852073,-0.0537334293052811,50.2900763358779,0.185185185185185,0.333333333333333,0.0357142857142857
25,"Pedicularis contorta",FALSE,8,0.186666666666667,1794.80597014925,1570,1901,193.085287846482,617.623071445083,-0.062538403217634,46.9125799573561,0.185185185185185,0.296296296296296,0.0357142857142857
26,"Pedicularis groendlandi",FALSE,2,0.04,1490,1490,1490,192.596330275229,654.683814487062,0,150.614678899083,0,0,0.107142857142857
27,"Pedicularis ornithorhyn",FALSE,14,0.293333333333333,1729.51694915254,1570,1901,214.157627118644,585.649079619287,-0.674586507424056,78.9169491525424,0.148148148148148,0.185185185185185,0.464285714285714
28,"Pedicularis racemosa",FALSE,27,0.453333333333333,1659.63172043011,1490,1901,189.921370967742,627.655109341335,-0.132801284532946,48.0591397849462,0.740740740740741,0.481481481481481,0.0357142857142857
29,"Penstemon confertus",FALSE,7,0.12,1901,1901,1901,197.099173553719,591.651582092986,-1.38642188641165,38.6804407713499,0.185185185185185,0.148148148148148,0
30,"Phlox diffusa",FALSE,10,0.16,1851.18621973929,1680,1901,193.201117318436,602.605061505682,-0.351497833950571,42.9664804469274,0.185185185185185,0.259259259259259,0
31,"Phyllodoce empetriformi",FALSE,24,0.506666666666667,1725.76923076923,1490,1901,201.37311286844,608.368484384508,-0.469465495001038,71.7864845434939,0.481481481481481,0.444444444444444,0.464285714285714
32,"Phyllodoce glanduliflor",FALSE,6,0.146666666666667,1849.92647058824,1680,1901,205.132352941176,597.930303472124,-0.632125334002942,54.9166666666667,0.148148148148148,0.148148148148148,0.107142857142857
33,"Polemonium californicum",FALSE,3,0.08,1593.50785340314,1490,1680,189.031413612565,627.844497004415,-0.0187097036609944,47.0732984293194,0.037037037037037,0.185185185185185,0
34,"Polygonum bistortoides",FALSE,30,0.48,1670.053125,1490,1791,196.88375,625.81648485749,-0.146909902905016,57.963125,0.444444444444444,0.518518518518518,0.357142857142857
35,"Potentilla flabellifoli",FALSE,24,0.44,1659.30321592649,1490,1901,202.643185298622,616.438328526094,-0.373714402863917,69.6408882082695,0.259259259259259,0.444444444444444,0.5
36,"Rhododendron albiflorum",FALSE,3,0.0533333333333333,1490,1490,1490,188.79,642.939316714065,-0.0246178917157772,72.455,0.0740740740740741,0.0740740740740741,0
37,"Ribes acerifolium",FALSE,3,0.08,1665.13513513514,1570,1680,191.006756756757,626.918646342804,-0.0241456310760131,44.8918918918919,0.037037037037037,0.185185185185185,0
38,"Rubus lasiococcus",FALSE,15,0.346666666666667,1577.52405949256,1490,1680,190.307961504812,637.637958319097,-0.00874976294500453,58.4278215223097,0.555555555555556,0.37037037037037,0.0357142857142857
39,"Salix barclayi",FALSE,2,0.04,1490,1490,1490,191.266666666667,657.84102521702,0,150.72,0,0,0.107142857142857
40,"Saxifraga tolmei",FALSE,3,0.0933333333333333,1858.01149425287,1791,1901,211.528735632184,595.542545922459,-0.664138471153028,73.0747126436782,0,0.037037037037037,0.214285714285714
41,"Sorbus sitchensis",FALSE,1,0.266666666666667,1549.20888355342,1490,1791,191.036014405762,643.919344019577,-0.0107520674551503,63.515006002401,0.407407407407407,0.259259259259259,0.107142857142857
42,"Spiraea splendens",FALSE,5,0.12,1498.11881188119,1490,1570,190.34900990099,652.036916698491,0,107.368811881188,0.0740740740740741,0.0740740740740741,0.178571428571429
43,"Vaccinium deliciosum",FALSE,39,0.653333333333333,1654.24919243193,1490,1901,196.207660359945,622.448504677543,-0.299217313321445,63.6626672819566,0.666666666666667,0.703703703703704,0.428571428571429
